epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8867,1.64173,5.00353,1.35635,0.97282,0.0865,0.11903,0.07209,1.33008,2.45556,1.20944,0.000127145,0.000127145,0.000127145
2,51.6327,1.4288,3.08067,1.22177,0.69256,0.27314,0.27923,0.18638,1.27725,1.60854,1.21225,0.000252949,0.000252949,0.000252949
3,73.9321,1.35775,2.59868,1.22271,0.71621,0.26647,0.33825,0.21738,1.30922,1.29,1.29064,0.000376212,0.000376212,0.000376212
4,95.7504,1.34961,2.36052,1.20786,0.54744,0.4266,0.39196,0.24505,1.25366,1.09049,1.25024,0.000373565,0.000373565,0.000373565
5,117.042,1.34798,1.98724,1.19517,0.59054,0.50165,0.57425,0.35587,1.27395,0.94107,1.26855,0.000369754,0.000369754,0.000369754
6,139.118,1.31987,1.73006,1.2053,0.37374,0.65463,0.57464,0.34824,1.24185,0.97264,1.22884,0.000365942,0.000365942,0.000365942
7,161.866,1.27693,1.57328,1.17442,0.54994,0.61526,0.63428,0.39648,1.22129,0.8185,1.21783,0.000362131,0.000362131,0.000362131
8,183.78,1.28055,1.42935,1.16387,0.64269,0.7538,0.72664,0.45563,1.24275,0.87113,1.20777,0.000358319,0.000358319,0.000358319
9,206.28,1.25911,1.2921,1.15686,0.63406,0.72181,0.72072,0.46498,1.21465,0.84266,1.20758,0.000354508,0.000354508,0.000354508
10,228.967,1.25541,1.23571,1.16871,0.50626,0.70456,0.67058,0.42287,1.2491,0.77889,1.2283,0.000350697,0.000350697,0.000350697
11,251.51,1.23007,1.22835,1.14485,0.70404,0.7183,0.735,0.48036,1.21354,0.81663,1.21444,0.000346885,0.000346885,0.000346885
12,274.431,1.23164,1.14706,1.15315,0.70085,0.77743,0.78685,0.50925,1.22503,0.74333,1.20617,0.000343074,0.000343074,0.000343074
13,297.259,1.2256,1.08858,1.1422,0.72476,0.82176,0.81311,0.51869,1.23014,0.81847,1.21136,0.000339262,0.000339262,0.000339262
14,319.8,1.1834,1.12037,1.10924,0.79027,0.74567,0.79279,0.52288,1.18444,0.7285,1.18216,0.00033545,0.00033545,0.00033545
15,342.36,1.1864,1.07009,1.10991,0.735,0.72289,0.78715,0.49098,1.21749,0.71538,1.20186,0.000331639,0.000331639,0.000331639
16,364.598,1.19093,0.94122,1.1548,0.82178,0.69653,0.79312,0.5103,1.19903,0.694,1.19169,0.000327827,0.000327827,0.000327827
17,387.048,1.19802,0.93215,1.1266,0.8267,0.69337,0.82456,0.54958,1.20343,0.71968,1.19326,0.000324016,0.000324016,0.000324016
18,410.236,1.19426,0.9107,1.13322,0.72099,0.84013,0.85923,0.57826,1.19255,0.71995,1.19384,0.000320204,0.000320204,0.000320204
19,433.53,1.19053,0.92584,1.1406,0.80321,0.73029,0.88938,0.5927,1.19493,0.7262,1.16761,0.000316393,0.000316393,0.000316393
20,456.646,1.18035,0.89284,1.11116,0.87022,0.63938,0.79529,0.53076,1.21853,0.68296,1.19119,0.000312581,0.000312581,0.000312581
21,479.789,1.19814,0.86287,1.12572,0.78441,0.75608,0.86686,0.59212,1.20285,0.75034,1.17696,0.00030877,0.00030877,0.00030877
22,503.53,1.20328,0.8807,1.121,0.80907,0.73353,0.85492,0.56393,1.1943,0.68661,1.18668,0.000304958,0.000304958,0.000304958
23,526.661,1.16379,0.83205,1.12029,0.76315,0.78914,0.81517,0.5535,1.21627,0.66959,1.19888,0.000301147,0.000301147,0.000301147
24,550.256,1.14774,0.81312,1.09929,0.67993,0.84351,0.8212,0.56096,1.20946,0.64555,1.18549,0.000297335,0.000297335,0.000297335
25,573.768,1.12933,0.85638,1.10038,0.65596,0.88568,0.83652,0.58358,1.20777,0.64056,1.16747,0.000293524,0.000293524,0.000293524
26,597.069,1.12635,0.77513,1.09382,0.79923,0.81248,0.87286,0.6034,1.18295,0.61517,1.18026,0.000289712,0.000289712,0.000289712
27,619.924,1.1346,0.77184,1.10493,0.87431,0.70195,0.87703,0.59168,1.19608,0.63497,1.18701,0.000285901,0.000285901,0.000285901
28,643.548,1.15325,0.78386,1.11468,0.82221,0.80561,0.85428,0.583,1.16675,0.62544,1.16585,0.000282089,0.000282089,0.000282089
29,666.074,1.14181,0.76164,1.09348,0.7431,0.83118,0.86063,0.57653,1.17188,0.61837,1.15785,0.000278278,0.000278278,0.000278278
30,689.038,1.11894,0.75881,1.09302,0.74857,0.81157,0.84617,0.57455,1.19031,0.63395,1.16807,0.000274466,0.000274466,0.000274466
31,712.061,1.12747,0.73166,1.09623,0.76339,0.86442,0.84931,0.55877,1.19017,0.61783,1.17713,0.000270655,0.000270655,0.000270655
32,735.148,1.10684,0.73328,1.09291,0.86473,0.76625,0.83184,0.57048,1.2064,0.63136,1.17919,0.000266843,0.000266843,0.000266843
33,757.208,1.11336,0.73191,1.07925,0.81141,0.87055,0.87256,0.59708,1.20092,0.61691,1.16268,0.000263032,0.000263032,0.000263032
34,779.642,1.0952,0.7539,1.07411,0.76114,0.88607,0.86356,0.59541,1.19107,0.60142,1.17824,0.00025922,0.00025922,0.00025922
35,802.355,1.12311,0.73838,1.09029,0.82265,0.82721,0.85433,0.59235,1.18246,0.63537,1.1644,0.000255409,0.000255409,0.000255409
36,824.638,1.10865,0.6857,1.08698,0.78381,0.81962,0.8552,0.60778,1.16176,0.60612,1.16365,0.000251597,0.000251597,0.000251597
37,846.917,1.09641,0.70211,1.07857,0.80132,0.85811,0.86772,0.59482,1.16028,0.57962,1.15578,0.000247786,0.000247786,0.000247786
38,869.825,1.10963,0.7106,1.09511,0.76602,0.82163,0.86246,0.61473,1.15392,0.58041,1.15079,0.000243974,0.000243974,0.000243974
39,891.958,1.09029,0.71807,1.07081,0.75985,0.83793,0.84788,0.59878,1.17226,0.62657,1.16674,0.000240163,0.000240163,0.000240163
40,914.837,1.08415,0.70247,1.08768,0.81627,0.83897,0.86734,0.61073,1.15125,0.59143,1.16732,0.000236351,0.000236351,0.000236351
41,937.278,1.09109,0.68752,1.07129,0.79249,0.868,0.87522,0.60574,1.20243,0.61327,1.18342,0.00023254,0.00023254,0.00023254
42,961.11,1.07096,0.65778,1.07427,0.80543,0.84054,0.85591,0.59916,1.17365,0.62415,1.17855,0.000228729,0.000228729,0.000228729
43,983.49,1.08146,0.6686,1.08327,0.78943,0.86026,0.85452,0.59845,1.14951,0.60526,1.16055,0.000224917,0.000224917,0.000224917
44,1005.8,1.08011,0.66873,1.07288,0.76798,0.83807,0.85817,0.60067,1.14911,0.60724,1.15591,0.000221106,0.000221106,0.000221106
45,1028.45,1.07164,0.67523,1.06344,0.81767,0.82266,0.87118,0.60726,1.17635,0.61063,1.1774,0.000217294,0.000217294,0.000217294
46,1050.71,1.05634,0.66633,1.06952,0.81707,0.75297,0.85099,0.58333,1.19093,0.61458,1.18432,0.000213482,0.000213482,0.000213482
47,1072.76,1.07727,0.66749,1.0738,0.83233,0.848,0.87015,0.60464,1.20285,0.5827,1.16896,0.000209671,0.000209671,0.000209671
48,1094.61,1.0662,0.63883,1.0653,0.77963,0.85239,0.8801,0.61251,1.1715,0.59676,1.14769,0.00020586,0.00020586,0.00020586
49,1116.46,1.03837,0.62346,1.06072,0.74447,0.87667,0.89698,0.61075,1.19382,0.58793,1.18057,0.000202048,0.000202048,0.000202048
50,1138.98,1.05621,0.64506,1.06909,0.75014,0.89614,0.87851,0.62276,1.182,0.61102,1.18854,0.000198236,0.000198236,0.000198236
51,1161.19,1.05016,0.64608,1.07183,0.81816,0.85145,0.9324,0.64463,1.16414,0.58101,1.17214,0.000194425,0.000194425,0.000194425
52,1183.54,1.02734,0.64473,1.05015,0.85345,0.84119,0.89331,0.61863,1.16989,0.56511,1.17703,0.000190613,0.000190613,0.000190613
53,1205.61,1.04122,0.63661,1.04567,0.77415,0.87248,0.85025,0.58924,1.18397,0.57872,1.17255,0.000186802,0.000186802,0.000186802
54,1227.8,1.03967,0.60383,1.05313,0.88049,0.8116,0.91235,0.64647,1.17294,0.57066,1.17122,0.00018299,0.00018299,0.00018299
55,1249.67,0.9932,0.57771,1.04645,0.81994,0.84881,0.88836,0.62873,1.1562,0.57898,1.1658,0.000179179,0.000179179,0.000179179
56,1271.6,1.02902,0.61357,1.04718,0.77962,0.87402,0.88064,0.60767,1.17645,0.61247,1.16838,0.000175367,0.000175367,0.000175367
57,1293.27,1.01641,0.60147,1.05003,0.8298,0.8115,0.86977,0.60253,1.17504,0.59109,1.16487,0.000171556,0.000171556,0.000171556
58,1314.61,1.01435,0.60283,1.0508,0.83224,0.8199,0.87308,0.61386,1.18876,0.58995,1.17276,0.000167745,0.000167745,0.000167745
59,1335.62,1.01089,0.60076,1.04201,0.84779,0.85885,0.88931,0.62086,1.19994,0.57896,1.19115,0.000163933,0.000163933,0.000163933
