epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8833,1.65645,5.19442,1.37446,0.97577,0.10331,0.12452,0.08006,1.49782,2.24648,1.26811,0.000127145,0.000127145,0.000127145
2,53.2421,1.41428,3.38925,1.2191,0.81963,0.18695,0.22394,0.14098,1.44689,1.63694,1.32008,0.000252949,0.000252949,0.000252949
3,75.4424,1.36936,2.59591,1.23477,0.69328,0.26617,0.29259,0.18164,1.36118,1.18608,1.28948,0.000376212,0.000376212,0.000376212
4,97.2273,1.36191,2.3848,1.21597,0.80506,0.27821,0.34415,0.21192,1.26935,1.123,1.25212,0.000373565,0.000373565,0.000373565
5,119.187,1.32179,2.01287,1.18851,0.76643,0.33361,0.41463,0.2481,1.30515,1.05676,1.30239,0.000369754,0.000369754,0.000369754
6,140.972,1.31471,1.68913,1.19472,0.62051,0.48085,0.52862,0.31701,1.31474,1.16165,1.29542,0.000365942,0.000365942,0.000365942
7,163.208,1.31118,1.53539,1.18675,0.63962,0.47431,0.54816,0.34807,1.23987,0.89013,1.23919,0.000362131,0.000362131,0.000362131
8,185.15,1.27213,1.38746,1.17633,0.7132,0.57195,0.63479,0.4155,1.21259,0.88183,1.21001,0.000358319,0.000358319,0.000358319
9,207.017,1.27281,1.26598,1.16238,0.69335,0.58849,0.64497,0.40297,1.22608,0.81819,1.22978,0.000354508,0.000354508,0.000354508
10,228.783,1.24387,1.206,1.15001,0.5245,0.70395,0.66598,0.38881,1.28555,0.82904,1.28215,0.000350697,0.000350697,0.000350697
11,250.383,1.2317,1.14319,1.13018,0.64358,0.64671,0.70922,0.44012,1.20962,0.8555,1.22225,0.000346885,0.000346885,0.000346885
12,272.652,1.23028,1.14043,1.16235,0.73001,0.58793,0.6961,0.42467,1.22405,0.78454,1.21993,0.000343074,0.000343074,0.000343074
13,294.352,1.24709,1.07649,1.15424,0.64859,0.63611,0.70081,0.44819,1.27561,0.82901,1.27549,0.000339262,0.000339262,0.000339262
14,316.22,1.20128,0.99645,1.13376,0.69966,0.66191,0.70434,0.48374,1.24195,0.80835,1.26038,0.00033545,0.00033545,0.00033545
15,337.708,1.19842,1.00601,1.13735,0.76021,0.60258,0.75902,0.47057,1.24055,0.74283,1.24027,0.000331639,0.000331639,0.000331639
16,359.13,1.19013,0.93743,1.13934,0.68824,0.6504,0.69256,0.44145,1.21695,0.77972,1.23149,0.000327827,0.000327827,0.000327827
17,381.418,1.19692,0.91206,1.12316,0.81925,0.63717,0.70587,0.47266,1.22611,0.73624,1.2373,0.000324016,0.000324016,0.000324016
18,403.359,1.17748,0.87494,1.1276,0.61477,0.70725,0.74415,0.49224,1.25916,0.71473,1.28351,0.000320204,0.000320204,0.000320204
