epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17035.6,1.06309,1.10562,1.32629,0.6781,0.59939,0.62054,0.43098,0.92825,1.66866,1.23372,0.000219817,0.000219817,0.000219817
43,17229.6,1.04929,1.07422,1.31216,0.68728,0.62453,0.63127,0.4462,0.93615,2.12016,1.25279,0.000216154,0.000216154,0.000216154
44,17423.4,1.02695,1.03773,1.2933,0.77066,0.5522,0.63249,0.45568,0.93157,1.58666,1.23762,0.000212491,0.000212491,0.000212491
45,17617.2,1.02982,1.10475,1.30852,0.74764,0.62904,0.63862,0.46609,0.90232,1.15044,1.21909,0.000208828,0.000208828,0.000208828
46,17811.2,1.02091,1.01047,1.30487,0.67858,0.64312,0.61342,0.43657,0.91559,1.56612,1.22899,0.000205165,0.000205165,0.000205165
47,18005.5,0.99614,1.07274,1.28,0.73966,0.5913,0.62661,0.439,0.91337,1.81553,1.25234,0.000201502,0.000201502,0.000201502
48,18200.1,1.02159,1.07005,1.30118,0.63275,0.63539,0.66227,0.46023,0.91244,1.04315,1.22898,0.000197839,0.000197839,0.000197839
49,18394.1,1.03702,1.05828,1.30964,0.72388,0.63456,0.63986,0.4609,0.91557,1.28454,1.24676,0.000194176,0.000194176,0.000194176
50,18588.2,1.03734,0.931,1.29334,0.78349,0.64468,0.67702,0.48523,0.92876,1.39058,1.22416,0.000190513,0.000190513,0.000190513
51,18782.4,0.98524,1.0448,1.252,0.65545,0.66328,0.63429,0.44287,0.92223,2.01983,1.24413,0.00018685,0.00018685,0.00018685
52,18977,1.02501,1.08853,1.27631,0.74914,0.62474,0.65225,0.47675,0.90105,1.8667,1.22233,0.000183187,0.000183187,0.000183187
53,19171.3,0.98288,0.97039,1.26397,0.73504,0.61467,0.62941,0.44995,0.91282,1.85117,1.22857,0.000179524,0.000179524,0.000179524
54,19365.5,1.01891,1.02708,1.28783,0.54837,0.67998,0.6089,0.43522,0.89308,2.86195,1.19906,0.000175861,0.000175861,0.000175861
55,19561.8,0.97975,0.92135,1.24723,0.67884,0.58652,0.6084,0.44508,0.89618,1.60251,1.20509,0.000172198,0.000172198,0.000172198
56,19756.3,0.9673,1.01244,1.2331,0.72834,0.63796,0.64863,0.46388,0.90145,1.3381,1.21663,0.000168535,0.000168535,0.000168535
57,19950.8,1.00058,0.97998,1.28052,0.65648,0.66768,0.63952,0.4512,0.90347,1.54041,1.20863,0.000164872,0.000164872,0.000164872
58,20147.8,1.01377,0.94249,1.2889,0.69987,0.69665,0.64668,0.45174,0.91879,1.32743,1.23916,0.000161209,0.000161209,0.000161209
59,20339.2,1.01038,0.97096,1.27671,0.76047,0.60314,0.65622,0.45603,0.89729,1.93173,1.22057,0.000157546,0.000157546,0.000157546
60,20529.3,0.9696,0.89783,1.2495,0.80193,0.62724,0.65827,0.4659,0.90041,1.27953,1.20433,0.000153883,0.000153883,0.000153883
61,20721.8,0.96737,0.93628,1.24025,0.7855,0.65361,0.66491,0.47731,0.91062,2.07042,1.22221,0.00015022,0.00015022,0.00015022
62,20912.4,0.95216,0.92055,1.24227,0.74809,0.66948,0.65949,0.47485,0.90952,2.05525,1.23035,0.000146557,0.000146557,0.000146557
63,21102.4,0.99159,0.93235,1.26403,0.62589,0.58065,0.60381,0.43658,0.90017,1.74119,1.20761,0.000142894,0.000142894,0.000142894
64,21292,0.95299,0.9089,1.23484,0.7511,0.6768,0.66936,0.48333,0.89621,2.23791,1.20036,0.000139231,0.000139231,0.000139231
65,21481.9,0.96874,0.92981,1.27215,0.7514,0.64921,0.65126,0.47188,0.89413,1.703,1.19786,0.000135568,0.000135568,0.000135568
66,21671.4,0.94357,0.87215,1.19912,0.6071,0.72044,0.68385,0.49809,0.88852,2.23039,1.2202,0.000131905,0.000131905,0.000131905
67,21860.9,0.92783,0.94045,1.22244,0.77927,0.69117,0.67738,0.49686,0.87166,2.12332,1.18758,0.000128242,0.000128242,0.000128242
68,121508,0.94041,0.89396,1.2249,0.71769,0.66351,0.66186,0.48401,0.88457,1.32039,1.18931,0.000124579,0.000124579,0.000124579
69,121697,0.98977,0.95965,1.2714,0.73046,0.69382,0.66476,0.48723,0.88144,1.96868,1.1798,0.000120916,0.000120916,0.000120916
70,121886,0.93433,0.8828,1.22346,0.71376,0.60619,0.65357,0.47817,0.88147,1.8257,1.17653,0.000117253,0.000117253,0.000117253
71,122075,0.91208,0.85148,1.205,0.74483,0.69972,0.6888,0.50591,0.89861,1.919,1.19594,0.00011359,0.00011359,0.00011359
72,122266,0.92321,0.84359,1.21389,0.77643,0.69659,0.70363,0.50524,0.89931,1.84304,1.18941,0.000109927,0.000109927,0.000109927
73,122456,0.94096,0.89458,1.221,0.76175,0.66383,0.67433,0.48281,0.89888,1.72564,1.20344,0.000106264,0.000106264,0.000106264
74,122644,0.93149,0.84198,1.20298,0.72736,0.71148,0.70514,0.49594,0.89214,1.63838,1.19917,0.000102601,0.000102601,0.000102601
75,122833,0.94041,0.86227,1.2353,0.72807,0.67451,0.6756,0.4851,0.90699,2.09332,1.21265,9.8938e-05,9.8938e-05,9.8938e-05
76,123022,0.94748,0.85021,1.23709,0.76841,0.68209,0.68805,0.49305,0.90228,1.97564,1.20167,9.5275e-05,9.5275e-05,9.5275e-05
77,123211,0.89376,0.8522,1.19999,0.78577,0.58985,0.66484,0.48831,0.8928,1.25927,1.18637,9.1612e-05,9.1612e-05,9.1612e-05
78,123399,0.89775,0.83591,1.18856,0.74386,0.70521,0.72037,0.53185,0.89096,1.76891,1.19831,8.7949e-05,8.7949e-05,8.7949e-05
79,123587,0.90567,0.78758,1.1943,0.73211,0.66616,0.66513,0.48361,0.90235,1.83771,1.1987,8.4286e-05,8.4286e-05,8.4286e-05
80,123776,0.87876,0.77892,1.18822,0.74519,0.66659,0.69976,0.5034,0.89237,2.23646,1.20672,8.0623e-05,8.0623e-05,8.0623e-05
81,123964,0.91565,0.79469,1.20007,0.69309,0.7006,0.70854,0.51209,0.88625,1.49002,1.1832,7.696e-05,7.696e-05,7.696e-05
82,124152,0.89647,0.76313,1.17987,0.75671,0.66594,0.70584,0.51709,0.89053,2.13302,1.19087,7.3297e-05,7.3297e-05,7.3297e-05
83,124340,0.9043,0.82528,1.17971,0.73441,0.64657,0.70014,0.51618,0.8902,1.74465,1.18741,6.9634e-05,6.9634e-05,6.9634e-05
84,124528,0.87536,0.75658,1.16156,0.69512,0.74922,0.71783,0.52936,0.87329,1.85475,1.18045,6.5971e-05,6.5971e-05,6.5971e-05
85,124717,0.88343,0.78442,1.17116,0.76951,0.68245,0.71143,0.52598,0.88699,2.47462,1.19223,6.2308e-05,6.2308e-05,6.2308e-05
86,124905,0.8724,0.75463,1.16806,0.73579,0.68285,0.70199,0.51416,0.8855,2.00274,1.18272,5.8645e-05,5.8645e-05,5.8645e-05
87,125093,0.85729,0.72343,1.14217,0.73834,0.68585,0.71064,0.51782,0.88506,1.50935,1.17767,5.4982e-05,5.4982e-05,5.4982e-05
88,125281,0.86002,0.75242,1.16013,0.75936,0.68489,0.70895,0.51758,0.89075,1.9142,1.18463,5.1319e-05,5.1319e-05,5.1319e-05
89,125469,0.90662,0.77415,1.186,0.73441,0.72047,0.71389,0.51995,0.88445,1.67424,1.18629,4.7656e-05,4.7656e-05,4.7656e-05
90,125657,0.87743,0.73725,1.17795,0.75024,0.68227,0.69726,0.50252,0.88787,2.3745,1.19173,4.3993e-05,4.3993e-05,4.3993e-05
91,125874,0.68149,0.54873,0.97786,0.75477,0.68345,0.6945,0.49664,0.88955,1.976,1.18333,4.033e-05,4.033e-05,4.033e-05
92,126061,0.68943,0.51133,0.98534,0.75535,0.68205,0.699,0.50787,0.88217,1.56441,1.18066,3.6667e-05,3.6667e-05,3.6667e-05
93,126248,0.67256,0.51707,0.97093,0.78594,0.6948,0.70347,0.50561,0.877,1.59205,1.1715,3.3004e-05,3.3004e-05,3.3004e-05
94,126435,0.67002,0.49534,0.97743,0.76948,0.67127,0.69627,0.50342,0.87892,1.66154,1.18045,2.9341e-05,2.9341e-05,2.9341e-05
95,126622,0.68268,0.50601,0.96938,0.75927,0.67925,0.71284,0.52122,0.8813,1.40088,1.18089,2.5678e-05,2.5678e-05,2.5678e-05
96,126808,0.66902,0.48881,0.96614,0.74041,0.62993,0.6843,0.49604,0.88623,1.73479,1.18733,2.2015e-05,2.2015e-05,2.2015e-05
97,126995,0.66998,0.51758,0.96594,0.73644,0.69362,0.71656,0.52286,0.88628,1.48469,1.1899,1.8352e-05,1.8352e-05,1.8352e-05
98,127181,0.662,0.47044,0.97071,0.73474,0.69498,0.70168,0.51334,0.88529,1.67966,1.18746,1.4689e-05,1.4689e-05,1.4689e-05
99,127368,0.65676,0.47227,0.94917,0.73522,0.70833,0.71902,0.52209,0.87988,1.54123,1.18162,1.1026e-05,1.1026e-05,1.1026e-05
100,127554,0.64682,0.44934,0.94275,0.78029,0.65374,0.7161,0.52386,0.88054,1.68861,1.18547,7.363e-06,7.363e-06,7.363e-06
