epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,431.804,1.11217,0.82361,1.109,0.84224,0.8288,0.84435,0.57029,1.18678,0.64083,1.18975,0.000228729,0.000228729,0.000228729
43,441.864,1.06992,0.75826,1.09035,0.84631,0.875,0.84806,0.58395,1.21609,0.63831,1.19951,0.000224917,0.000224917,0.000224917
44,451.983,1.10651,0.78643,1.09034,0.90269,0.86672,0.86224,0.59395,1.23506,0.61812,1.2031,0.000221106,0.000221106,0.000221106
45,462.095,1.12452,0.79604,1.10075,0.88161,0.86706,0.83286,0.57369,1.2111,0.5859,1.18618,0.000217294,0.000217294,0.000217294
46,472.247,1.09963,0.73909,1.10449,0.84985,0.85739,0.8653,0.58717,1.23042,0.63632,1.21331,0.000213482,0.000213482,0.000213482
47,482.49,1.06886,0.76551,1.09975,0.90925,0.85933,0.85795,0.57785,1.26917,0.61971,1.25141,0.000209671,0.000209671,0.000209671
48,492.59,1.0861,0.73369,1.11352,0.82328,0.875,0.85519,0.57225,1.24057,0.63454,1.21417,0.00020586,0.00020586,0.00020586
49,502.727,1.10415,0.76691,1.10068,0.84346,0.84324,0.85977,0.58418,1.21084,0.62778,1.20472,0.000202048,0.000202048,0.000202048
50,512.904,1.08514,0.75356,1.09819,0.83332,0.87268,0.8663,0.58144,1.2323,0.65999,1.20651,0.000198236,0.000198236,0.000198236
51,523.023,1.08115,0.73179,1.09857,0.85748,0.86958,0.8583,0.59519,1.19216,0.61391,1.19729,0.000194425,0.000194425,0.000194425
52,533.134,1.0892,0.80049,1.11755,0.86443,0.85338,0.86076,0.5845,1.22396,0.58378,1.20799,0.000190613,0.000190613,0.000190613
53,543.254,1.11964,0.78028,1.12454,0.85194,0.82537,0.85879,0.59783,1.20581,0.62063,1.22373,0.000186802,0.000186802,0.000186802
54,553.426,1.0425,0.72968,1.10157,0.86183,0.84773,0.85823,0.59314,1.20673,0.61745,1.2131,0.00018299,0.00018299,0.00018299
55,563.485,1.08726,0.7439,1.10851,0.85353,0.85805,0.85256,0.56969,1.25201,0.59433,1.23398,0.000179179,0.000179179,0.000179179
